step,reward/mean,reward/pairwise/mean,reward/combined_mean,reward/std,reward/min,reward/max,train/loss,train/loss_listwise,train/loss_pairwise,train/loss_pairwise_weighted,reward/pairwise_weighted
94,0.819773,,,0.134649,0.243097,0.998764,-0.0814,,,,
95,0.801234,,,0.133784,0.262966,0.996864,-0.0125,,,,
96,0.841143,,,0.117539,0.333722,1,-0.0125,,,,
97,0.80126,,,0.129209,0.276269,0.995803,-0.0609,,,,
98,0.824896,,,0.125567,0.264265,0.997269,-0.0661,,,,
99,0.82405,,,0.112858,0.312378,0.99818,-0.0247,,,,
100,0.836491,,,0.120363,0.329414,0.997756,-0.0239,,,,
101,0.801879,,,0.129603,0.241929,0.996209,-0.0121,,,,
102,0.829432,,,0.12141,0.253734,0.997498,-0.0515,,,,
103,0.84104,,,0.117594,0.372177,0.998514,0.0124,,,,
104,0.81971,,,0.123892,0.276468,0.996967,-0.0223,,,,
105,0.815043,,,0.114349,0.307924,0.999469,-0.0738,,,,
106,0.855124,,,0.101048,0.386314,0.998764,0.0052,,,,
107,0.808439,,,0.127228,0.28053,1,-0.0863,,,,
108,0.825125,,,0.117103,0.289291,1,-0.1044,,,,
109,0.830643,,,0.119346,0.362041,0.998307,-0.0432,,,,
110,0.812765,,,0.119891,0.29927,0.996864,-0.0248,,,,
111,0.817238,,,0.121135,0.320754,0.999073,-0.03,,,,
112,0.815032,,,0.122914,0.258461,1,-0.0514,,,,
113,0.822244,,,0.123943,0.315866,1,-0.0202,,,,
