run,tasks_found,tasks_missing,types_found,mean_task_score,mean_type_score,retrieval,retrieval_ood,errors,result_dir
G1-A-NDCGAlign040-s42,1,0,1,17.28,17.28,17.28,17.28,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027/G1-A-NDCGAlign040-s42/mteb_eval/bright/iclr2027__G1-A-NDCGAlign040-s42/no_revision_available
G1-J-CL-s42,1,0,1,16.96,16.96,16.96,16.96,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027/G1-J-CL-s42/mteb_eval/bright/iclr2027__G1-J-CL-s42/no_revision_available
G1-A-DocMean-s42,1,0,1,16.6,16.6,16.6,16.6,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027/G1-A-DocMean-s42/mteb_eval/bright/iclr2027__G1-A-DocMean-s42/no_revision_available
G1-A-Paired-s42,1,0,1,16.57,16.57,16.57,16.57,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027/G1-A-Paired-s42/mteb_eval/bright/iclr2027__G1-A-Paired-s42/no_revision_available
G1-A-NormDocMean-s42,1,0,1,16.51,16.51,16.51,16.51,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027/G1-A-NormDocMean-s42/mteb_eval/bright/iclr2027__G1-A-NormDocMean-s42/no_revision_available
G1-A-DPolicy-s42,1,0,1,16.25,16.25,16.25,16.25,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027/G1-A-DPolicy-s42/mteb_eval/bright/iclr2027__G1-A-DPolicy-s42/no_revision_available
G1-A-Cal-s42,1,0,1,16.04,16.04,16.04,16.04,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027/G1-A-Cal-s42/mteb_eval/bright/iclr2027__G1-A-Cal-s42/no_revision_available
G1-A-QPolicy-s42,1,0,1,16.01,16.01,16.01,16.01,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027/G1-A-QPolicy-s42/mteb_eval/bright/iclr2027__G1-A-QPolicy-s42/no_revision_available
G1-E0,1,0,1,15.07,15.07,15.07,15.07,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027/G1-E0/mteb_eval/bright/iclr2027__G1-E0/no_revision_available
G1-J-LL-s42,1,0,1,10.53,10.53,10.53,10.53,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027/G1-J-LL-s42/mteb_eval/bright/iclr2027__G1-J-LL-s42/no_revision_available
