family,method,biology,earth_science,economics,psychology,robotics,stackoverflow,sustainable_living,pony,leetcode,aops,theoremqa_theorems,theoremqa_questions
qwen,RL-GradedNDCG64-CP,26.75,28.88,25.78,31.853333333333335,18.41,26.093333333333334,24.533333333333335,1.7333333333333334,11.043333333333333,2.95,29.773333333333333,20.87
qwen,RL-GradedNDCG64-CP-Align080,27.96,29.34,25.37666666666667,31.43,17.586666666666666,26.856666666666666,24.826666666666668,1.9866666666666666,10.6,2.8666666666666667,29.513333333333332,20.746666666666666
qwen,RL-GradedNDCG64-CP-Anneal080090,27.923333333333332,29.05666666666667,25.383333333333333,31.88,18.016666666666666,26.486666666666668,25.0,1.9866666666666666,10.549999999999999,3.01,29.726666666666667,20.663333333333334
qwen,RL-GradedNDCG64-CP-Align095,25.89,28.93,25.836666666666666,31.64,18.163333333333334,25.36,24.093333333333334,1.6933333333333334,11.553333333333333,3.2133333333333334,29.273333333333333,21.0
qwen,RL-GradedNDCG32-CP,26.39666666666667,28.55666666666667,25.433333333333334,30.91,18.04,25.67,24.19,1.5833333333333333,10.913333333333334,3.3000000000000003,29.31,20.52
qwen,RL-GradedNDCG64-CP-Align065,29.453333333333333,30.846666666666668,25.28333333333333,30.66,16.37,26.923333333333332,24.4,2.083333333333333,9.98,2.913333333333333,27.866666666666667,19.773333333333333
qwen,RL-GradedNDCG64-CP-Align053,30.146666666666665,31.74,24.62,30.936666666666667,15.713333333333333,26.266666666666666,22.983333333333334,1.8,9.753333333333334,3.1433333333333335,25.803333333333335,19.599999999999998
qwen,RL-GradedNDCG64-CP-Align098,24.34,28.8,25.206666666666667,30.933333333333334,17.233333333333334,25.163333333333334,23.453333333333333,1.71,11.513333333333334,3.0966666666666667,29.5,21.259999999999998
qwen,RL-MRR64-SF,20.52,28.253333333333334,24.63,28.956666666666667,15.843333333333334,23.3,21.496666666666666,0.81,12.97,3.853333333333333,32.526666666666664,19.586666666666666
qwen,RL-GradedNDCG64-CP-NoRescale,24.27,27.583333333333332,23.95,29.27,18.063333333333333,25.83,23.4,1.83,10.94,3.066666666666667,27.54,20.849999999999998
qwen,RL-GradedNDCG64-SF-GaussianMismatch755,22.64,28.206666666666667,24.523333333333333,29.8,15.376666666666667,24.586666666666666,22.21,1.3066666666666666,10.323333333333334,3.33,29.740000000000002,19.916666666666668
qwen,LL-Graded,24.343333333333334,25.483333333333334,23.95,28.976666666666667,17.566666666666666,22.86,21.923333333333332,1.4066666666666667,12.43,3.3433333333333333,29.04,21.04
qwen,RL-BinaryNDCG64-CP,25.55,22.203333333333333,24.31,29.796666666666667,16.24,27.94,22.083333333333332,1.3399999999999999,9.543333333333333,2.7399999999999998,29.523333333333333,19.633333333333333
qwen,RL-GradedNDCG64-SF-Align065,21.836666666666666,28.14,24.05,28.94333333333333,15.623333333333333,23.703333333333333,21.543333333333333,1.4,11.003333333333334,3.06,28.933333333333334,20.14
qwen,RL-MRR64-CP,26.136666666666667,22.490000000000002,23.76,28.096666666666668,16.56,27.413333333333334,21.023333333333333,0.9633333333333333,9.676666666666666,3.9733333333333336,33.18666666666667,19.189999999999998
qwen,RL-GradedNDCG64-SF-Align053,22.58,27.71,24.12666666666667,29.863333333333333,15.123333333333333,24.18,20.926666666666666,1.3033333333333332,9.533333333333333,3.3266666666666667,27.38,20.126666666666665
