step,reward/mean,reward/pairwise/mean,reward/combined_mean,reward/std,reward/min,reward/max,train/loss,train/loss_listwise,train/loss_pairwise,train/loss_pairwise_weighted,reward/pairwise_weighted
1,0.631042,0.620996,0.94154,0.171403,0.072286,0.98988,-0.1185,-0.102771,-0.031507,-0.015754,0.310498
2,0.698673,0.712672,1.055009,0.164066,0.101077,0.997511,-0.0604,-0.036497,-0.0479,-0.02395,0.356336
3,0.703645,0.66613,1.03671,0.168535,0.099507,0.990354,-0.0595,-0.039895,-0.039187,-0.019594,0.333065
4,0.645747,0.651411,0.971453,0.186811,0.075068,0.992564,-0.0518,-0.033657,-0.036354,-0.018177,0.3257055
5,0.747019,0.64753,1.070784,0.16983,0.123,0.998315,-0.0296,-0.029661,0.000176,8.8e-05,0.323765
6,0.684967,0.643975,1.006954,0.182956,0.084679,0.989531,-0.1272,-0.110574,-0.033222,-0.016611,0.3219875
7,0.690289,0.685339,1.032959,0.170106,0.099135,0.994374,-0.1166,-0.096098,-0.041035,-0.020517,0.3426695
8,0.688122,0.69584,1.036042,0.177009,0.094729,0.992221,-0.0567,-0.04116,-0.031115,-0.015558,0.34792
9,0.655207,0.682197,0.996305,0.175797,0.079071,0.989022,-0.0695,-0.054391,-0.030153,-0.015076,0.3410985
10,0.687258,0.711575,1.043046,0.163165,0.12152,0.994577,-0.1124,-0.084255,-0.056249,-0.028125,0.3557875
11,0.7635,0.758607,1.142804,0.141345,0.198755,0.994892,-0.0001,0.018586,-0.037314,-0.018657,0.3793035
12,0.719828,0.752199,1.095927,0.150666,0.163634,0.998543,-0.1325,-0.114976,-0.035109,-0.017555,0.3760995
13,0.708123,0.741427,1.078836,0.162494,0.136823,0.995782,-0.0871,-0.065357,-0.043583,-0.021792,0.3707135
14,0.740397,0.746016,1.113405,0.166758,0.12924,0.995678,-0.0686,-0.05611,-0.024921,-0.01246,0.373008
15,0.731709,0.738293,1.100855,0.146676,0.205049,0.997784,-0.0416,-0.024671,-0.033814,-0.016907,0.3691465
