subset,model,scope,alignment,queries,eligible_flip_queries,ndcg,mrr,hit,ndcg_drop,correct_pair_flip_rate
biology,E0,candidates,1.0,103,13,0.13322143716600252,0.19501078748651565,0.34951456310679613,0.0,0.0
biology,E0,candidates,0.99,103,13,0.13322830833784366,0.19307313337956541,0.34890776699029125,-6.87117184116049e-06,0.06610576923076923
biology,E0,candidates,0.95,103,13,0.13298617440710936,0.19024900312066578,0.35012135922330095,0.00023526275889314665,0.14903846153846154
biology,E0,candidates,0.9,103,13,0.13332677480617453,0.19072950377562028,0.3549757281553398,-0.00010533764017200116,0.14783653846153846
biology,E0,candidates,0.8,103,13,0.13041909276578106,0.18569279501849284,0.35664441747572817,0.002802344400221451,0.20673076923076922
biology,E0,candidates,0.7,103,13,0.12811469110557722,0.18294619981892438,0.35194174757281554,0.00510674606042527,0.21514423076923078
biology,InfoNCE,candidates,1.0,103,31,0.33439490201639566,0.431333795654184,0.6796116504854369,0.0,0.0
biology,InfoNCE,candidates,0.99,103,31,0.3346043573070598,0.4314100665549392,0.6759708737864077,-0.0002094552906640443,0.025705645161290324
biology,InfoNCE,candidates,0.95,103,31,0.3363035928500091,0.43215778625366,0.6809769417475728,-0.0019086908336133092,0.04233870967741935
biology,InfoNCE,candidates,0.9,103,31,0.33278750290892173,0.42815503881568806,0.6767293689320388,0.0016073991074740794,0.05241935483870968
biology,InfoNCE,candidates,0.8,103,31,0.3253136376004347,0.41767630798274,0.6645934466019418,0.00908126441596096,0.09173387096774194
biology,InfoNCE,candidates,0.7,103,31,0.3112042709125945,0.3998004435390661,0.6421419902912622,0.02319063110380128,0.13860887096774194
biology,LambdaLoss,candidates,1.0,103,19,0.24005344290845274,0.2983587609801202,0.5436893203883495,0.0,0.0
biology,LambdaLoss,candidates,0.99,103,19,0.2434479227191844,0.30286301818462014,0.5535497572815534,-0.003394479810731648,0.014802631578947368
biology,LambdaLoss,candidates,0.95,103,19,0.24238241472735805,0.302799449067653,0.5496055825242718,-0.0023289718189053194,0.038651315789473686
biology,LambdaLoss,candidates,0.9,103,19,0.23905810114040438,0.3015067566265988,0.5480885922330098,0.0009953417680483023,0.0625
biology,LambdaLoss,candidates,0.8,103,19,0.22984247685906053,0.29212772335876097,0.5339805825242718,0.010210966049392207,0.12088815789473684
biology,LambdaLoss,candidates,0.7,103,19,0.2192958332569415,0.28084408470103245,0.5068264563106796,0.02075760965151126,0.13486842105263158
biology,RELER,candidates,1.0,103,46,0.4658734236205748,0.5808907381722916,0.8058252427184466,0.0,0.0
biology,RELER,candidates,0.99,103,46,0.46586857278447324,0.5805223262444137,0.8073422330097088,4.850836101633599e-06,0.021399456521739132
biology,RELER,candidates,0.95,103,46,0.4656010308668676,0.580603232393281,0.8090109223300971,0.0002723927537072545,0.049932065217391304
biology,RELER,candidates,0.9,103,46,0.46162895623807887,0.5762598845161042,0.8059769417475728,0.004244467382495968,0.08118206521739131
biology,RELER,candidates,0.8,103,46,0.454730989338978,0.5714698070773617,0.7983919902912622,0.01114243428159688,0.09341032608695653
biology,RELER,candidates,0.7,103,46,0.4448472702172021,0.559296381376175,0.7888349514563107,0.02102615340337273,0.12839673913043478
biology,Listwise,candidates,1.0,103,39,0.39810841338381464,0.5086107258437356,0.7766990291262136,0.0,0.0
biology,Listwise,candidates,0.99,103,39,0.39983153420845324,0.5167121161773771,0.7753337378640777,-0.0017231208246386678,0.005608974358974359
biology,Listwise,candidates,0.95,103,39,0.40008540764567024,0.5191737339150869,0.7695691747572816,-0.0019769942618556705,0.019230769230769232
biology,Listwise,candidates,0.9,103,39,0.4001066871651356,0.5197171415087071,0.7603155339805825,-0.0019982737813209308,0.03565705128205128
biology,Listwise,candidates,0.8,103,39,0.3947382892910101,0.5124324578132223,0.7448422330097088,0.0033701240928044303,0.07051282051282051
biology,Listwise,candidates,0.7,103,39,0.3849945749902174,0.4954387954615503,0.736498786407767,0.01311383839359708,0.10376602564102565
earth_science,E0,candidates,1.0,116,27,0.2781743425823315,0.3394978106185004,0.6120689655172413,0.0,0.0
