subset,model,role,uniformity,mean_vector_norm,effective_rank,neighbor_retention
biology,E0,query,-3.078657275690786,0.4706060141550367,70.8185089439965,1.0
biology,E0,document,-3.099963158766842,0.4521077832614862,332.27889528933696,1.0
biology,InfoNCE,query,-1.7254637790926548,0.7482272132858154,50.169521149602,0.6553398058252425
biology,InfoNCE,document,-2.2129440463649686,0.6578073120511857,256.93881290284924,0.6337
biology,LambdaLoss,query,-1.3072555243222497,0.8182692092754584,50.76015706568899,0.6815533980582523
biology,LambdaLoss,document,-0.6965477736724912,0.9062342282498639,126.63183450183791,0.56975
biology,RELER,query,-2.864948787048633,0.5102538652006038,57.42950489926111,0.6689320388349516
biology,RELER,document,-3.555378554639108,0.29680019864908586,304.61493541265855,0.6006500000000001
biology,Listwise,query,-3.0486210827752673,0.46430242271805366,59.821821690255376,0.720388349514563
biology,Listwise,document,-3.632801701783918,0.2684666889627481,310.80088201384575,0.64775
earth_science,E0,query,-3.0087917783304605,0.48975041423777393,79.16882041458524,1.0
earth_science,E0,document,-2.769291729480755,0.5267870370714677,291.2005734445444,1.0
earth_science,InfoNCE,query,-1.7237288794440542,0.7479606925743049,54.2234877338554,0.6232758620689653
earth_science,InfoNCE,document,-2.0287357860260835,0.6905712368843878,238.14330016998176,0.6239
earth_science,LambdaLoss,query,-1.2638719113458707,0.8242655379209974,53.98033884656149,0.654310344827586
earth_science,LambdaLoss,document,-0.5618715378565858,0.9245157147148697,104.38454408703406,0.50815
earth_science,RELER,query,-3.022178673416038,0.46918882236116455,64.64574629866918,0.6387931034482758
earth_science,RELER,document,-3.308696677733246,0.37487148304180407,296.6569352174523,0.57425
earth_science,Listwise,query,-3.207815453866404,0.4203213614712473,67.98822911486467,0.7008620689655171
earth_science,Listwise,document,-3.422247931296598,0.33596907272470933,292.15567029412244,0.61975
robotics,E0,query,-2.4912219135600515,0.6032082425776778,64.6651728951379,1.0
robotics,E0,document,-2.5639107042824043,0.5753462073194415,256.8792867497901,1.0
robotics,InfoNCE,query,-1.4085267103964707,0.7980548198508763,49.04249851718652,0.6118811881188119
robotics,InfoNCE,document,-2.099447853305865,0.6776539256246636,233.86648598996638,0.58375
robotics,LambdaLoss,query,-0.9612839965443076,0.8691445937114901,50.50139947238546,0.592079207920792
robotics,LambdaLoss,document,-0.6167034322640068,0.9162546739187855,119.0768196015288,0.5345
robotics,RELER,query,-2.591267089309645,0.5711110636869093,56.32224990404955,0.6178217821782178
robotics,RELER,document,-3.4018979463470957,0.32839666661031164,223.67234085625066,0.5559000000000001
robotics,Listwise,query,-2.678620839800494,0.5534676904764002,58.541005416334656,0.6673267326732674
robotics,Listwise,document,-3.390600950004337,0.33672940032445686,231.22697574477684,0.5956500000000001
theoremqa_theorems,E0,query,-2.5762939349637466,0.5602646085768221,39.61370686774207,1.0
theoremqa_theorems,E0,document,-3.0209423869449075,0.4753077833607717,214.7721662842277,1.0
theoremqa_theorems,InfoNCE,query,-1.923501377782061,0.7001075427201005,32.25923785154405,0.8618421052631579
theoremqa_theorems,InfoNCE,document,-1.898029926171934,0.7140796699663856,123.04690270821511,0.6881
theoremqa_theorems,LambdaLoss,query,-1.3701404493525997,0.801840252344894,29.585788246689642,0.8328947368421054
theoremqa_theorems,LambdaLoss,document,-0.7756239021865923,0.8952083639437334,73.13878644555444,0.621
theoremqa_theorems,RELER,query,-2.9945831567214696,0.42689066853351904,37.22633004895668,0.7776315789473685
theoremqa_theorems,RELER,document,-3.26059710434174,0.3916557260138555,180.205765029938,0.6680499999999999
theoremqa_theorems,Listwise,query,-3.033426288944105,0.41287019904313804,37.9234122764385,0.793421052631579
theoremqa_theorems,Listwise,document,-3.299198467261955,0.37859408887896834,183.65936626092983,0.68965
