subset,model,queries,ndcg,mrr,hit,margin
biology,E0,103,0.13322143716600252,0.19501078748651565,0.34951456310679613,-0.12557051164432637
biology,InfoNCE,103,0.3347107468368892,0.431333795654184,0.6796116504854369,-0.030275054927011137
biology,LambdaLoss,103,0.24005344290845274,0.2983587609801202,0.5436893203883495,-0.023968627151933687
biology,RELER,103,0.4658734236205748,0.5808907381722916,0.8058252427184466,-0.021190781037784316
biology,Listwise,103,0.39978993586009504,0.5134650947757744,0.7766990291262136,-0.035664020232783936
earth_science,E0,116,0.2781743425823315,0.3394978106185004,0.6120689655172413,-0.07513433335156276
earth_science,InfoNCE,116,0.32889653856718104,0.3978653530377668,0.6724137931034483,-0.03287001159684411
earth_science,LambdaLoss,116,0.25016089040530076,0.31235974274767375,0.5344827586206896,-0.024349361144263167
earth_science,RELER,116,0.38139797678064846,0.4878797208538587,0.7327586206896551,-0.042727283876517724
earth_science,Listwise,116,0.3795023491857312,0.4804084564860427,0.75,-0.04587191368999152
robotics,E0,101,0.11972602573835207,0.15430221593587928,0.24752475247524752,-0.1376591380869988
robotics,InfoNCE,101,0.20774769570176504,0.25793257897218297,0.45544554455445546,-0.06348434828295565
robotics,LambdaLoss,101,0.1760421507031572,0.21738566713814236,0.42574257425742573,-0.03266315353978978
robotics,RELER,101,0.18156019770635168,0.23974933207606475,0.42574257425742573,-0.13075403057702698
robotics,Listwise,101,0.1798848630745176,0.22605689140342605,0.39603960396039606,-0.12829235491186086
theoremqa_theorems,E0,76,0.3209488439817034,0.3149801587301587,0.5789473684210527,-0.08756662003303829
theoremqa_theorems,InfoNCE,76,0.32589803591169686,0.3225668337510443,0.5526315789473685,-0.052497465359537226
theoremqa_theorems,LambdaLoss,76,0.29249924570361197,0.2932174185463659,0.5263157894736842,-0.030232329901896025
theoremqa_theorems,RELER,76,0.29082277553523367,0.2957706766917293,0.5,-0.11871093511581421
theoremqa_theorems,Listwise,76,0.2890729813130125,0.29255952380952377,0.4868421052631579,-0.12255889922380447
