method,n_seeds,orig_n12_mean,orig_n12_sd,orig_long7_mean,gpt_n12_mean,gpt_n12_sd,gpt_long7_mean,delta_n12
G1-BGE-M3-E0,1,10.66,0.00,11.84,21.41,0.00,17.91,10.75
G1-BGE-M3-INFONCE,3,12.63,0.11,16.56,22.33,0.32,23.81,9.70
G1-BGE-M3-LAMBDALOSS,3,11.40,0.08,14.75,18.74,0.20,21.32,7.34
G1-BGE-M3-RELER,3,14.49,0.04,20.73,26.07,0.05,29.52,11.58
